,ticker,security,sector,subindustry,registered,founded
388,PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2013-02-15,1881
389,QRVO,Qorvo,Information Technology,Semiconductors,2015-06-11,2015
390,PWR,Quanta Services,Industrials,Construction & Engineering,2009-07-01,1997
391,QCOM,Qualcomm,Information Technology,Semiconductors,,1985
392,DGX,Quest Diagnostics,Health Care,Health Care Services,2002-12-12,1967
393,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2007-02-02,1967
394,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2017-03-20,1962
395,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,,1922
396,O,Realty Income Corporation,Real Estate,Retail REITs,2015-04-07,1969
397,REG,Regency Centers,Real Estate,Retail REITs,2017-03-02,1963
398,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,2013-05-01,1988
399,RF,Regions Financial Corporation,Financials,Regional Banks,1998-08-28,1971
400,RSG,Republic Services,Industrials,Environmental & Facilities Services,2008-12-05,1998 (1981)
401,RMD,ResMed,Health Care,Health Care Equipment,2017-07-26,1989
402,RHI,Robert Half International,Industrials,Human Resource & Employment Services,2000-12-05,1948
403,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,,1903
404,ROL,Rollins,Industrials,Environmental & Facilities Services,2018-10-01,1948
405,ROP,Roper Technologies,Industrials,Industrial Conglomerates,2009-12-23,1981
406,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,2009-12-21,1982
407,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2014-12-05,1997
408,SPGI,S&P Global,Financials,Financial Exchanges & Data,,1917
409,CRM,Salesforce,Information Technology,Application Software,2008-09-15,1999
410,SBAC,SBA Communications,Real Estate,Specialized REITs,2017-09-01,1989
411,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,1965-03-31,1926
412,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2012-07-02,1979
413,SEE,Sealed Air,Materials,Paper Packaging,1957-03-04,1960
414,SRE,Sempra Energy,Utilities,Multi-Utilities,,1998
415,NOW,ServiceNow,Information Technology,Systems Software,2019-11-21,2003
416,SHW,Sherwin-Williams,Materials,Specialty Chemicals,1964-06-30,1866
417,SBNY,Signature Bank,Financials,Regional Banks,2021-12-20,2001
418,SPG,Simon Property Group,Real Estate,Retail REITs,2002-06-26,2003
419,SWKS,Skyworks Solutions,Information Technology,Semiconductors,2015-03-12,2002
420,SNA,Snap-on,Industrials,Industrial Machinery,1982-09-30,1920
421,SEDG,SolarEdge,Information Technology,Semiconductor Equipment,2021-12-20,2006
422,SO,Southern Company,Utilities,Electric Utilities,1957-03-04,1945
423,LUV,Southwest Airlines,Industrials,Airlines,1994-07-01,1967
424,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,1982-09-30,1843
425,SBUX,Starbucks,Consumer Discretionary,Restaurants,,1971
426,STT,State Street Corporation,Financials,Asset Management & Custody Banks,,1792
427,STE,Steris,Health Care,Health Care Equipment,2019-12-23,1985
428,SYK,Stryker Corporation,Health Care,Health Care Equipment,2000-12-12,1941
429,SIVB,SVB Financial,Financials,Regional Banks,2018-03-19,1983
430,SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18,2003
431,SNPS,Synopsys,Information Technology,Application Software,2017-03-16,1986
432,SYY,Sysco,Consumer Staples,Food Distributors,1986-12-31,1969
433,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2019-07-15,1994
434,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,,1937
435,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,2018-03-19,1993
436,TPR,Tapestry,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","
",2017
437,TGT,Target,Consumer Discretionary,General Merchandise Stores,1976-12-31,1902
438,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2011-10-17,2007
439,TDY,Teledyne Technologies,Industrials,Aerospace & Defense,2020-06-22,1960
440,TFX,Teleflex,Health Care,Health Care Equipment,2019-01-18,1943
441,TER,Teradyne,Information Technology,Semiconductor Equipment,2020-09-21,1960
442,TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers,2020-12-21,2003
443,TXN,Texas Instruments,Information Technology,Semiconductors,,1930
444,TXT,Textron,Industrials,Aerospace & Defense,1978-12-31,1923
445,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,2004-08-03,2006 (1902)
446,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,1985-09-30,1987
447,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,2014-01-24,1938
448,TT,Trane Technologies,Industrials,Building Products,2010-11-17,1871
449,TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03,1993
450,TRV,The Travelers Companies,Financials,Property & Casualty Insurance,2002-08-21,1853
451,TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,2021-01-21,1978
452,TFC,Truist Financial,Financials,Regional Banks,1997-12-04,1872
453,TWTR,Twitter,Communication Services,Interactive Media & Services,2018-06-07,2006
454,TYL,Tyler Technologies,Information Technology,Application Software,2020-06-22,1966
455,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2005-08-10,1935
456,UDR,UDR,Real Estate,Residential REITs,2016-03-07,1972
457,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,2016-04-18,1990
458,USB,U.S. Bancorp,Financials,Diversified Banks,,1968
459,UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2014-05-01,1996
460,UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2016-04-08,1996
461,UNP,Union Pacific,Industrials,Railroads,1957-03-04,1862
462,UAL,United Airlines,Industrials,Airlines,2015-09-03,1967
463,UNH,UnitedHealth Group,Health Care,Managed Health Care,1994-07-01,1977
464,UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22,1907
465,URI,United Rentals,Industrials,Trading Companies & Distributors,2014-09-20,1997
466,UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20,1979
467,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,,1980
468,VTR,Ventas,Real Estate,Health Care REITs,2009-03-04,1998
469,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,2006-02-01,1995
470,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,2015-10-08,1971
471,VZ,Verizon Communications,"Communication Services
",Integrated Telecommunication Services,1983-11-30,1983 (1877)
472,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2013-09-23,1989
473,VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30,1899
474,VIAC,ViacomCBS,Communication Services,Movies & Entertainment,,2019 (1952)
475,VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23,1961
476,V,Visa,Information Technology,Data Processing & Outsourced Services,2009-12-21,1958
477,VNO,Vornado Realty Trust,Real Estate,Office REITs,,1982
478,VMC,Vulcan Materials,Materials,Construction Materials,1999-06-30,1909
479,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2019-12-05,1967
480,WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,2019-02-27,1999 (1869)
481,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,1982-08-31,1962
482,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31,2014
483,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,1976-06-30,1923
484,WM,Waste Management,Industrials,Environmental & Facilities Services,,1968
485,WAT,Waters Corporation,Health Care,Health Care Distributors,,1958
486,WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31,1896
487,WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30,1852
488,WELL,Welltower,Real Estate,Health Care REITs,2009-01-30,1970
489,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22,1923
490,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01,1970
491,WRK,WestRock,Materials,Paper Packaging,,2015
492,WY,Weyerhaeuser,Real Estate,Specialized REITs,,1900
